date,charged,drained,max,min
2025-07-01,51,73,100,28
2025-07-02,57,37,73,32
2025-07-03,33,60,83,23
2025-07-04,63,20,68,25
2025-07-05,33,71,100,30
2025-07-06,62,47,88,31
2025-07-07,59,54,86,41
2025-07-08,48,54,100,46
2025-07-09,56,53,94,45
2025-07-10,53,60,100,40
2025-07-11,78,58,98,41
2025-07-12,41,59,100,43
2025-07-13,56,73,100,27
2025-07-14,55,37,78,26
2025-07-15,43,56,87,32
2025-07-16,47,41,77,30
2025-07-17,34,37,72,35
2025-07-18,60,43,88,35
2025-07-19,42,55,89,34
2025-07-20,49,61,88,27
2025-07-21,33,26,58,20
2025-07-22,58,53,74,21
2025-07-23,66,37,73,27
2025-07-24,30,61,85,24
2025-07-25,53,37,73,25
2025-07-26,44,56,85,30
2025-07-27,39,34,64,28
2025-07-28,48,51,80,32
2025-07-29,37,42,67,25
2025-07-30,58,43,73,26
2025-07-31,37,44,77,35
